Series_Title,Released_Year,Genre_Id
How to Train Your Dragon,2010,12
How to Train Your Dragon,2010,2
How to Train Your Dragon,2010,3
Into the Wild,2007,3
Into the Wild,2007,4
Into the Wild,2007,0
No Country for Old Men,2007,1
No Country for Old Men,2007,0
No Country for Old Men,2007,11
Lage Raho Munna Bhai,2006,10
Lage Raho Munna Bhai,2006,0
Lage Raho Munna Bhai,2006,7
Million Dollar Baby,2004,0
Million Dollar Baby,2004,20
Hotel Rwanda,2004,4
Hotel Rwanda,2004,0
Hotel Rwanda,2004,5
Taegukgi hwinalrimyeo,2004,2
Taegukgi hwinalrimyeo,2004,0
Taegukgi hwinalrimyeo,2004,14
Before Sunset,2004,0
Before Sunset,2004,7
Munna Bhai M.B.B.S.,2003,10
Munna Bhai M.B.B.S.,2003,0
Munna Bhai M.B.B.S.,2003,18
Salinui chueok,2003,1
Salinui chueok,2003,0
Salinui chueok,2003,15
Dil Chahta Hai,2001,10
Dil Chahta Hai,2001,0
Dil Chahta Hai,2001,7
Kill Bill: Vol. 1,2003,2
Kill Bill: Vol. 1,2003,1
Kill Bill: Vol. 1,2003,0
Finding Nemo,2003,12
Finding Nemo,2003,3
Finding Nemo,2003,10
Catch Me If You Can,2002,4
Catch Me If You Can,2002,1
Catch Me If You Can,2002,0
Amores perros,2000,0
Amores perros,2000,11
"Monsters, Inc.",2001,12
"Monsters, Inc.",2001,3
"Monsters, Inc.",2001,10
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,12
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,2
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,0
Lagaan: Once Upon a Time in India,2001,3
Lagaan: Once Upon a Time in India,2001,0
Lagaan: Once Upon a Time in India,2001,18
The Sixth Sense,1999,0
The Sixth Sense,1999,15
The Sixth Sense,1999,11
La leggenda del pianista sull'oceano,1998,0
La leggenda del pianista sull'oceano,1998,16
La leggenda del pianista sull'oceano,1998,7
The Truman Show,1998,10
The Truman Show,1998,0
"Crna macka, beli macor",1998,10
"Crna macka, beli macor",1998,1
"Crna macka, beli macor",1998,7
The Big Lebowski,1998,10
The Big Lebowski,1998,1
The Big Lebowski,1998,20
Fa yeung nin wah,2000,0
Fa yeung nin wah,2000,7
Trainspotting,1996,0
Fargo,1996,1
Fargo,1996,0
Fargo,1996,11
Underground,1995,10
Underground,1995,0
Underground,1995,14
La haine,1995,1
La haine,1995,0
Dilwale Dulhania Le Jayenge,1995,0
Dilwale Dulhania Le Jayenge,1995,7
Before Sunrise,1995,0
Before Sunrise,1995,7
Trois couleurs: Rouge,1994,0
Trois couleurs: Rouge,1994,15
Trois couleurs: Rouge,1994,7
Chung Hing sam lam,1994,10
Chung Hing sam lam,1994,1
Chung Hing sam lam,1994,0
Jurassic Park,1993,2
Jurassic Park,1993,3
Jurassic Park,1993,6
In the Name of the Father,1993,4
In the Name of the Father,1993,1
In the Name of the Father,1993,0
Ba wang bie ji,1993,0
Ba wang bie ji,1993,16
Ba wang bie ji,1993,7
Dà hóng denglong gaogao guà,1991,0
Dà hóng denglong gaogao guà,1991,5
Dà hóng denglong gaogao guà,1991,7
Dead Poets Society,1989,10
Dead Poets Society,1989,0
Stand by Me,1986,3
Stand by Me,1986,0
Platoon,1986,0
Platoon,1986,14
"Paris, Texas",1984,0
Kaze no tani no Naushika,1984,12
Kaze no tani no Naushika,1984,3
Kaze no tani no Naushika,1984,9
The Thing,1982,17
The Thing,1982,15
The Thing,1982,6
Pink Floyd: The Wall,1982,0
Pink Floyd: The Wall,1982,9
Pink Floyd: The Wall,1982,16
Fitzcarraldo,1982,3
Fitzcarraldo,1982,0
Fanny och Alexander,1982,0
Blade Runner,1982,2
Blade Runner,1982,6
Blade Runner,1982,11
The Elephant Man,1980,4
The Elephant Man,1980,0
Life of Brian,1979,10
The Deer Hunter,1978,0
The Deer Hunter,1978,14
Rocky,1976,0
Rocky,1976,20
Network,1976,0
Barry Lyndon,1975,3
Barry Lyndon,1975,0
Barry Lyndon,1975,5
Zerkalo,1975,4
Zerkalo,1975,0
Chinatown,1974,0
Chinatown,1974,15
Chinatown,1974,11
Paper Moon,1973,10
Paper Moon,1973,1
Paper Moon,1973,0
Viskningar och rop,1972,0
Solaris,1972,0
Solaris,1972,15
Solaris,1972,6
Le samouraï,1967,1
Le samouraï,1967,0
Le samouraï,1967,15
Cool Hand Luke,1967,1
Cool Hand Luke,1967,0
Persona,1966,0
Persona,1966,11
Andrei Rublev,1966,4
Andrei Rublev,1966,0
Andrei Rublev,1966,5
La battaglia di Algeri,1966,0
La battaglia di Algeri,1966,14
El ángel exterminador,1962,0
El ángel exterminador,1962,9
What Ever Happened to Baby Jane?,1962,0
What Ever Happened to Baby Jane?,1962,17
What Ever Happened to Baby Jane?,1962,11
Sanjuro,1962,2
Sanjuro,1962,10
Sanjuro,1962,1
The Man Who Shot Liberty Valance,1962,0
The Man Who Shot Liberty Valance,1962,8
Ivanovo detstvo,1962,0
Ivanovo detstvo,1962,14
Jungfrukällan,1960,0
Inherit the Wind,1960,4
Inherit the Wind,1960,0
Inherit the Wind,1960,5
Les quatre cents coups,1959,1
Les quatre cents coups,1959,0
Ben-Hur,1959,3
Ben-Hur,1959,0
Ben-Hur,1959,5
Kakushi-toride no san-akunin,1958,3
Kakushi-toride no san-akunin,1958,0
Le notti di Cabiria,1957,0
Kumonosu-jô,1957,0
Kumonosu-jô,1957,5
The Bridge on the River Kwai,1957,3
The Bridge on the River Kwai,1957,0
The Bridge on the River Kwai,1957,14
On the Waterfront,1954,1
On the Waterfront,1954,0
On the Waterfront,1954,11
Le salaire de la peur,1953,3
Le salaire de la peur,1953,0
Le salaire de la peur,1953,11
Ace in the Hole,1951,0
Ace in the Hole,1951,19
White Heat,1949,2
White Heat,1949,1
White Heat,1949,0
The Third Man,1949,19
The Third Man,1949,15
The Third Man,1949,11
The Red Shoes,1948,0
The Red Shoes,1948,16
The Red Shoes,1948,7
The Shop Around the Corner,1940,10
The Shop Around the Corner,1940,0
The Shop Around the Corner,1940,7
Rebecca,1940,0
Rebecca,1940,15
Rebecca,1940,7
Mr. Smith Goes to Washington,1939,10
Mr. Smith Goes to Washington,1939,0
Gone with the Wind,1939,0
Gone with the Wind,1939,5
Gone with the Wind,1939,7
La Grande Illusion,1937,0
La Grande Illusion,1937,14
It Happened One Night,1934,10
It Happened One Night,1934,7
La passion de Jeanne d'Arc,1928,4
La passion de Jeanne d'Arc,1928,0
La passion de Jeanne d'Arc,1928,5
The Circus,1928,10
The Circus,1928,7
Sunrise: A Song of Two Humans,1927,0
Sunrise: A Song of Two Humans,1927,7
The General,1926,2
The General,1926,3
The General,1926,10
Das Cabinet des Dr. Caligari,1920,9
Das Cabinet des Dr. Caligari,1920,17
Das Cabinet des Dr. Caligari,1920,15
Badhaai ho,2018,10
Badhaai ho,2018,0
Togo,2019,3
Togo,2019,4
Togo,2019,0
Airlift,2016,0
Airlift,2016,5
Bajrangi Bhaijaan,2015,2
Bajrangi Bhaijaan,2015,3
Bajrangi Bhaijaan,2015,10
Baby,2015,2
Baby,2015,1
Baby,2015,11
La La Land,2016,10
La La Land,2016,0
La La Land,2016,16
Lion,2016,4
Lion,2016,0
The Martian,2015,3
The Martian,2015,0
The Martian,2015,6
Zootopia,2016,12
Zootopia,2016,3
Zootopia,2016,10
Bãhubali: The Beginning,2015,2
Bãhubali: The Beginning,2015,0
Kaguyahime no monogatari,2013,12
Kaguyahime no monogatari,2013,3
Kaguyahime no monogatari,2013,0
Wonder,2017,0
Wonder,2017,13
Gully Boy,2019,0
Gully Boy,2019,16
Gully Boy,2019,7
Special Chabbis,2013,1
Special Chabbis,2013,0
Special Chabbis,2013,11
Short Term 12,2013,0
Serbuan maut 2: Berandal,2014,2
Serbuan maut 2: Berandal,2014,1
Serbuan maut 2: Berandal,2014,11
The Imitation Game,2014,4
The Imitation Game,2014,0
The Imitation Game,2014,11
Guardians of the Galaxy,2014,2
Guardians of the Galaxy,2014,3
Guardians of the Galaxy,2014,10
Blade Runner 2049,2017,2
Blade Runner 2049,2017,0
Blade Runner 2049,2017,15
Her,2013,0
Her,2013,7
Her,2013,6
Bohemian Rhapsody,2018,4
Bohemian Rhapsody,2018,0
Bohemian Rhapsody,2018,16
The Revenant,2015,2
The Revenant,2015,3
The Revenant,2015,0
The Perks of Being a Wallflower,2012,0
The Perks of Being a Wallflower,2012,7
Tropa de Elite 2: O Inimigo Agora é Outro,2010,2
Tropa de Elite 2: O Inimigo Agora é Outro,2010,1
Tropa de Elite 2: O Inimigo Agora é Outro,2010,0
The King's Speech,2010,4
The King's Speech,2010,0
The King's Speech,2010,5
The Help,2011,0
Deadpool,2016,2
Deadpool,2016,3
Deadpool,2016,10
Darbareye Elly,2009,0
Darbareye Elly,2009,15
Dev.D,2009,0
Dev.D,2009,7
Yip Man,2008,2
Yip Man,2008,4
Yip Man,2008,0
My Name Is Khan,2010,0
Nefes: Vatan Sagolsun,2009,2
Nefes: Vatan Sagolsun,2009,0
Nefes: Vatan Sagolsun,2009,11
Slumdog Millionaire,2008,0
Slumdog Millionaire,2008,7
Black Swan,2010,0
Black Swan,2010,11
Tropa de Elite,2007,2
Tropa de Elite,2007,1
Tropa de Elite,2007,0
The Avengers,2012,2
The Avengers,2012,3
The Avengers,2012,6
Persepolis,2007,12
Persepolis,2007,4
Persepolis,2007,0
Dallas Buyers Club,2013,4
Dallas Buyers Club,2013,0
The Pursuit of Happyness,2006,4
The Pursuit of Happyness,2006,0
Blood Diamond,2006,3
Blood Diamond,2006,0
Blood Diamond,2006,11
The Bourne Ultimatum,2007,2
The Bourne Ultimatum,2007,15
The Bourne Ultimatum,2007,11
Bin-jip,2004,1
Bin-jip,2004,0
Bin-jip,2004,7
Sin City,2005,1
Sin City,2005,11
Le scaphandre et le papillon,2007,4
Le scaphandre et le papillon,2007,0
G.O.R.A.,2004,3
G.O.R.A.,2004,10
G.O.R.A.,2004,6
Ratatouille,2007,12
Ratatouille,2007,3
Ratatouille,2007,10
Casino Royale,2006,2
Casino Royale,2006,3
Casino Royale,2006,11
Kill Bill: Vol. 2,2004,2
Kill Bill: Vol. 2,2004,1
Kill Bill: Vol. 2,2004,11
Vozvrashchenie,2003,0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,7
Mar adentro,2014,4
Mar adentro,2014,0
Cinderella Man,2005,4
Cinderella Man,2005,0
Cinderella Man,2005,5
Kal Ho Naa Ho,2003,10
Kal Ho Naa Ho,2003,0
Kal Ho Naa Ho,2003,18
Mou gaan dou,2002,2
Mou gaan dou,2002,1
Mou gaan dou,2002,0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2
Pirates of the Caribbean: The Curse of the Black Pearl,2003,3
Pirates of the Caribbean: The Curse of the Black Pearl,2003,9
Big Fish,2003,3
Big Fish,2003,0
Big Fish,2003,9
The Incredibles,2004,12
The Incredibles,2004,2
The Incredibles,2004,3
Yeopgijeogin geunyeo,2001,10
Yeopgijeogin geunyeo,2001,0
Yeopgijeogin geunyeo,2001,7
Dogville,2003,1
Dogville,2003,0
Vizontele,2001,10
Vizontele,2001,0
Donnie Darko,2001,0
Donnie Darko,2001,15
Donnie Darko,2001,6
Magnolia,1999,0
Dancer in the Dark,2000,1
Dancer in the Dark,2000,0
Dancer in the Dark,2000,18
The Straight Story,1999,4
The Straight Story,1999,0
Pâfekuto burû,1997,12
Pâfekuto burû,1997,1
Pâfekuto burû,1997,15
Festen,1998,0
Central do Brasil,1998,0
The Iron Giant,1999,12
The Iron Giant,1999,2
The Iron Giant,1999,3
Knockin' on Heaven's Door,1997,2
Knockin' on Heaven's Door,1997,1
Knockin' on Heaven's Door,1997,10
Sling Blade,1996,0
